company_id,year,previous_pattern,new_pattern
HDFCLIFE,2020,Reinvestor,Growth Funded by Debt
HDFCLIFE,2022,Growth Funded by Debt,Reinvestor
HDFCLIFE,2023,Reinvestor,Growth Funded by Debt
HDFCLIFE,2024,Growth Funded by Debt,Reinvestor
HEROMOTOCO,2015,Reinvestor,Shareholder Returns
HEROMOTOCO,2016,Shareholder Returns,Reinvestor
HEROMOTOCO,2019,Reinvestor,Shareholder Returns
HEROMOTOCO,2020,Shareholder Returns,Reinvestor
HINDALCO,2015,Growth Funded by Debt,Reinvestor
HINDALCO,2018,Reinvestor,Shareholder Returns
HINDALCO,2019,Shareholder Returns,Reinvestor
HINDALCO,2020,Reinvestor,Growth Funded by Debt
HINDALCO,2021,Growth Funded by Debt,Reinvestor
HINDUNILVR,2014,Shareholder Returns,Reinvestor
HINDUNILVR,2015,Reinvestor,Shareholder Returns
HINDUNILVR,2016,Shareholder Returns,Reinvestor
HINDUNILVR,2020,Reinvestor,Shareholder Returns
HINDUNILVR,2021,Shareholder Returns,Reinvestor
ICICIBANK,2015,Growth Funded by Debt,Pre-Revenue
ICICIBANK,2016,Pre-Revenue,Growth Funded by Debt
ICICIBANK,2017,Growth Funded by Debt,Reinvestor
ICICIBANK,2018,Reinvestor,Growth Funded by Debt
ICICIBANK,2019,Growth Funded by Debt,Reinvestor
ICICIBANK,2020,Reinvestor,Growth Funded by Debt
ICICIBANK,2021,Growth Funded by Debt,Reinvestor
ICICIBANK,2022,Reinvestor,Growth Funded by Debt
ICICIBANK,2023,Growth Funded by Debt,Pre-Revenue
ICICIBANK,2024,Pre-Revenue,Growth Funded by Debt
ICICIGI,2015,Growth Funded by Debt,Distress Signal
ICICIGI,2016,Distress Signal,Reinvestor
ICICIGI,2017,Reinvestor,Growth Funded by Debt
ICICIGI,2018,Growth Funded by Debt,Reinvestor
ICICIGI,2022,Reinvestor,Shareholder Returns
ICICIGI,2023,Shareholder Returns,Reinvestor
ICICIPRULI,2015,Distress Signal,Reinvestor
ICICIPRULI,2016,Reinvestor,Shareholder Returns
ICICIPRULI,2017,Shareholder Returns,Reinvestor
ICICIPRULI,2021,Reinvestor,Growth Funded by Debt
ICICIPRULI,2022,Growth Funded by Debt,Reinvestor
ICICIPRULI,2024,Reinvestor,Distress Signal
INDIGO,2015,Growth Funded by Debt,Reinvestor
INDIGO,2018,Reinvestor,Growth Funded by Debt
INDIGO,2019,Growth Funded by Debt,Reinvestor
INDIGO,2021,Reinvestor,Distress Signal
INDIGO,2022,Distress Signal,Shareholder Returns
INDIGO,2023,Shareholder Returns,Reinvestor
INDUSINDBK,2017,Pre-Revenue,Reinvestor
INDUSINDBK,2018,Reinvestor,Pre-Revenue
INDUSINDBK,2020,Pre-Revenue,Liquidating Assets
INDUSINDBK,2021,Liquidating Assets,Reinvestor
INDUSINDBK,2023,Reinvestor,Pre-Revenue
